status,state,bill_number,description,sponsors,committee,session,latest_action,bill_id
PASSED UPPER,Kentucky,SB 132,AN ACT relating to the recruitment and retention of health care professionals and declaring an emergency.,,"RULES, COMMITTEE ON COMMITTEES, COMMITTEE ON COMMITTEES, HEALTH SERVICES, HEALTH SERVICES","2025 REGULAR SESSION
LATEST ACTION: MARCH 13, 2025","MARCH 13, 2025",state-ky-2025rs-sb132
INTRODUCED,Nebraska,LB 605,Require each school board to adopt a policy relating to transgender student participation in extracurricular activities sponsored by a school or an athletics or activities association,Jane Raybould (N),EDUCATION,"109TH LEGISLATURE (2025-2026)
LATEST ACTION: MARCH 13, 2025","MARCH 13, 2025",state-ne-109-lb605
INTRODUCED,North Dakota,HCR 3013,A concurrent resolution urging the United States Supreme Court to restore the definition of marriage to a union between one man and one woman.,"Bill Tveit (R),Karen Anderson (R),David Clemens (R),+9 sponsors",JUDICIARY,"69TH LEGISLATIVE ASSEMBLY (2025-26)
LATEST ACTION: MARCH 13, 2025","MARCH 13, 2025",state-nd-69-hcr3013
INTRODUCED,Minnesota,SF 2294,"Male participation in female athletics restriction provision, male access to female changing facilities restriction provision, and criminal penalties provision","Eric Lucero (R),Torrey Westrom (R),Andrew Mathews (R)",EDUCATION POLICY,"2025-2026 REGULAR SESSION
LATEST ACTION: MARCH 13, 2025","MARCH 13, 2025",state-mn-2025_2026-sf2294
INTRODUCED,South Dakota,SB 113,provide protections for parental rights.,"Tamara Grove (R),Sue Peterson (R),Carl Perry (R),+4 sponsors",(NO COMMITTEE),"2025 REGULAR SESSION
LATEST ACTION: MARCH 12, 2025","MARCH 12, 2025",state-sd-2025-sb113
INTRODUCED,Minnesota,HF 1233,Women's athletics exemption created in the Human Rights Act.,"Natalie Zeleznikar (R),Harry Niska (R),Krista Knudsen (R),+1 sponsor",JUDICIARY FINANCE AND CIVIL LAW,"2025-2026 REGULAR SESSION
LATEST ACTION: MARCH 12, 2025","MARCH 12, 2025",state-mn-2025_2026-hf1233
INTRODUCED,Kansas,SB 275,"Requiring school districts to include a fetal development presentation as part of the curriculum for any course that addresses human growth, human development or human sexuality.",,EDUCATION,"2025-2026 REGULAR SESSION
LATEST ACTION: MARCH 12, 2025","MARCH 12, 2025",state-ks-2025_2026-sb275
INTRODUCED,Arkansas,HB 1083,TO CREATE THE ARKANSAS KIDS ONLINE SAFETY ACT.,"Zack Gramlich (R),Justin Boyd (R),Andrew Collins (D),+2 sponsors","AGING, CHILDREN AND YOUTH, LEGISLATIVE & MILITARY AFFAIRS, AGING, CHILDREN AND YOUTH, & LEGISLATIVE AFFAIRS","2025 REGULAR SESSION
LATEST ACTION: MARCH 11, 2025","MARCH 11, 2025",state-ar-2025-hb1083
INTRODUCED,Colorado,HB 25-1253,Youth Health Protection Act,"Brandi Bradley (R),Carlos Barron (R),Max Brooks (R),+2 sponsors",HEALTH & HUMAN SERVICES,"2025 REGULAR SESSION
LATEST ACTION: MARCH 11, 2025","MARCH 11, 2025",state-co-2025a-hb251253
INTRODUCED,West Virginia,HB 2689,Require pornography websites to utilize age verification methods to prevent minors from accessing content,"Geno Chiarelli (R),Elliott Pritt (R),Jeffries,+8 sponsors","JUDICIARY, LEGAL SERVICES","2025 REGULAR SESSION
LATEST ACTION: MARCH 11, 2025","MARCH 11, 2025",state-wv-2025-hb2689
INTRODUCED,Texas,HB 1484,Relating to the protection of students from sexual grooming.,"Terri Leo-Wilson (R),Candy Noble (R),Charles Cunningham (R),+3 sponsors",PUBLIC EDUCATION,"89TH LEGISLATURE (2025)
LATEST ACTION: MARCH 11, 2025","MARCH 11, 2025",state-tx-89r-hb1484
INTRODUCED,Texas,HB 1279,"Relating to prohibiting teaching in Texas public elementary and secondary schools of hateful, divisive and discriminatory practices and beliefs that could lead to discriminatory treatment of individuals because of such individual's race, color, ethnicity, sex, national origin or religion and the establishment of remedies and penalties for discriminatory treatment.",Alan Schoolcraft (R),PUBLIC EDUCATION,"89TH LEGISLATURE (2025)
LATEST ACTION: MARCH 10, 2025","MARCH 10, 2025",state-tx-89r-hb1279
PASSED LOWER,Idaho,H 351,EDUCATION – Amends existing law to revise provisions regarding parental rights in education.,EDUCATION COMMITTEE,EDUCATION,"68TH LEGISLATURE, 1ST REGULAR SESSION (2025)
LATEST ACTION: MARCH 10, 2025","MARCH 10, 2025",state-id-2025-h351
INTRODUCED,Utah,H.B. 518,Sexual Abuse Material Modifications,Nicholeen Peck (R),(NO COMMITTEE),"2025 GENERAL SESSION
LATEST ACTION: MARCH 7, 2025","MARCH 7, 2025",state-ut-2025-hb518
PASSED UPPER,Utah,H.B. 449,Student Athlete Amendments,"Jordan Teuscher (R),Ann Millner (R)",(NO COMMITTEE),"2025 GENERAL SESSION
LATEST ACTION: MARCH 7, 2025","MARCH 7, 2025",state-ut-2025-hb449
PASSED UPPER,Utah,H.B. 250,Public Employee Gender-specific Language Requirements,"Nicholeen Peck (R),Dan McCay (R)",(NO COMMITTEE),"2025 GENERAL SESSION
LATEST ACTION: MARCH 7, 2025","MARCH 7, 2025",state-ut-2025-hb250
PASSED UPPER,Kentucky,SB 60,AN ACT relating to restoring religious liberty.,,"JUDICIARY, RULES, COMMITTEE ON COMMITTEES, JUDICIARY, COMMITTEE ON COMMITTEES","2025 REGULAR SESSION
LATEST ACTION: MARCH 7, 2025","MARCH 7, 2025",state-ky-2025rs-sb60
INTRODUCED,Texas,HB 1158,Relating to parental approval for a student's participation in human sexuality instruction in public schools.,"Lacey Hull (R),Andy Hopper (R),David Spiller (R),+45 sponsors",PUBLIC EDUCATION,"89TH LEGISLATURE (2025)
LATEST ACTION: MARCH 7, 2025","MARCH 7, 2025",state-tx-89r-hb1158
INTRODUCED,Texas,HB 1123,"Relating to interscholastic athletic competition based on biological sex, requirements for physical examinations and genetic testing in interscholastic athletics, and the adoption of rules by the University Interscholastic League to implement these requirements.","Janie Lopez (R),Terri Leo-Wilson (R),Carrie Isaac (R)",PUBLIC EDUCATION,"89TH LEGISLATURE (2025)
LATEST ACTION: MARCH 7, 2025","MARCH 7, 2025",state-tx-89r-hb1123
INTRODUCED,Texas,HB 1084,Relating to the regulation of in vitro fertilization procedures; authorizing an administrative penalty.,Pat Curry (R),PUBLIC HEALTH,"89TH LEGISLATURE (2025)
LATEST ACTION: MARCH 7, 2025","MARCH 7, 2025",state-tx-89r-hb1084
INTRODUCED,Texas,HB 1075,Relating to a cause of action for drag performances performed in the presence of a minor.,Nate Schatzline (R),STATE AFFAIRS,"89TH LEGISLATURE (2025)
LATEST ACTION: MARCH 7, 2025","MARCH 7, 2025",state-tx-89r-hb1075
INTRODUCED,Texas,HB 1016,Relating to a public school policy regarding multi-occupancy bathrooms or changing facilities.,Steve Toth (R),STATE AFFAIRS,"89TH LEGISLATURE (2025)
LATEST ACTION: MARCH 7, 2025","MARCH 7, 2025",state-tx-89r-hb1016
INTRODUCED,Texas,HB 1015,Relating to regulations and policies for entering or using a bathroom or changing facility in a public school.,Steve Toth (R),STATE AFFAIRS,"89TH LEGISLATURE (2025)
LATEST ACTION: MARCH 7, 2025","MARCH 7, 2025",state-tx-89r-hb1015
INTRODUCED,Texas,HB 1014,"Relating to regulations and policies for entering or using a bathroom or changing facility in a public school; authorizing a civil penalty, authorizing a private civil right of action.","Steve Toth (R),Richard Hayes (R),Mitch Little (R),+3 sponsors",STATE AFFAIRS,"89TH LEGISLATURE (2025)
LATEST ACTION: MARCH 7, 2025","MARCH 7, 2025",state-tx-89r-hb1014
INTRODUCED,Iowa,HSB 158,"A bill for an act relating to minors present at drag shows, and providing penalties.",COMMITTEE ON EDUCATION,EDUCATION,"2025-2026 REGULAR SESSION
LATEST ACTION: MARCH 7, 2025","MARCH 7, 2025",state-ia-2025_2026-hsb158
BECAME LAW,Wyoming,HB 207,Religious Freedom Restoration Act.,"Art Washut (R),Dalton Banks (R),Scott Heiner (R),+12 sponsors","JUDICIARY, JUDICIARY","2025 REGULAR SESSION
LATEST ACTION: MARCH 6, 2025","MARCH 6, 2025",state-wy-2025-hb207
INTRODUCED,New Jersey,A 5419,Prohibits health care professionals from providing gender-affirming health care services to persons under 21 years of age.,"Greg Myhre (R),Brian Rumpf (R),Paul Kanitra (R),+9 sponsors",HEALTH,"2024-2025 REGULAR SESSION
LATEST ACTION: MARCH 6, 2025","MARCH 6, 2025",state-nj-221-a5419
INTRODUCED,Texas,SB 1393,"Relating to electronic health record requirements, including the recording of an individual's biological sex.",Bob Hall (R),HEALTH & HUMAN SERVICES,"89TH LEGISLATURE (2025)
LATEST ACTION: MARCH 6, 2025","MARCH 6, 2025",state-tx-89r-sb1393
INTRODUCED,Texas,HB 980,Relating to the required inclusion of a person's sex on a birth certificate.,"Steve Toth (R),Janis Holt (R)",JUDICIARY & CIVIL JURISPRUDENCE,"89TH LEGISLATURE (2025)
LATEST ACTION: MARCH 6, 2025","MARCH 6, 2025",state-tx-89r-hb980
INTRODUCED,Texas,HB 976,Relating to parental rights in public education and prohibiting certain instruction regarding sexual orientation or gender identity; authorizing a civil penalty.,"Steve Toth (R),Janis Holt (R),Keresa Richardson (R)",PUBLIC EDUCATION,"89TH LEGISLATURE (2025)
LATEST ACTION: MARCH 6, 2025","MARCH 6, 2025",state-tx-89r-hb976
INTRODUCED,Texas,HB 973,"Relating to prohibiting a court, administrative agency, or other tribunal from requiring certain amendments to a public school student's permanent record.",Candy Noble (R),PUBLIC EDUCATION,"89TH LEGISLATURE (2025)
LATEST ACTION: MARCH 6, 2025","MARCH 6, 2025",state-tx-89r-hb973
INTRODUCED,Texas,HB 938,Relating to a cause of action for drag performances performed in the presence of a minor.,"Steve Toth (R),John McQueeney (R),Andy Hopper (R),+3 sponsors",STATE AFFAIRS,"89TH LEGISLATURE (2025)
LATEST ACTION: MARCH 6, 2025","MARCH 6, 2025",state-tx-89r-hb938
INTRODUCED,New Hampshire,HB 662,requiring the discussion of abortion procedures and viewing of certain videos during health education in public schools.,"John Sellers (R),Jordan Ulery (R),Sandra Panek (R),+2 sponsors",EDUCATION POLICY AND ADMINISTRATION,"2025 REGULAR SESSION
LATEST ACTION: MARCH 6, 2025","MARCH 6, 2025",state-nh-2025-hb662
INTRODUCED,Minnesota,SF 802,Student physical privacy provision,"Nelson,Julia Coleman (R),Zach Duckworth (R),+1 sponsor",EDUCATION POLICY,"2025-2026 REGULAR SESSION
LATEST ACTION: MARCH 6, 2025","MARCH 6, 2025",state-mn-2025_2026-sf802
INTRODUCED,Missouri,SJR 33,Establishes provisions relating to reproductive health care,"Adam Schnelting (R),Nick Schroer (R),Rick Brattin (R),+4 sponsors","FAMILIES, SENIORS AND HEALTH","2025 REGULAR SESSION
LATEST ACTION: MARCH 5, 2025","MARCH 5, 2025",state-mo-2025-sjr33
INTRODUCED,Missouri,SB 295,Establishes provisions relating to adult cabaret including civil liability for adult cabarets and the offense of engaging in an adult cabaret performance,Rick Brattin (R),JUDICIARY AND CIVIL AND CRIMINAL JURISPRUDENCE,"2025 REGULAR SESSION
LATEST ACTION: MARCH 5, 2025","MARCH 5, 2025",state-mo-2025-sb295
INTRODUCED,Texas,HB 847,Relating to a prohibition on funding for gender reassignment.,"Brian Harrison (R),Tony Tinderholt (R)",STATE AFFAIRS,"89TH LEGISLATURE (2025)
LATEST ACTION: MARCH 5, 2025","MARCH 5, 2025",state-tx-89r-hb847
INTRODUCED,Colorado,HB 25-1255,Health-Care Provider Right to Exercise Conscience,Stephanie Luck (R),JUDICIARY,"2025 REGULAR SESSION
LATEST ACTION: MARCH 4, 2025","MARCH 4, 2025",state-co-2025a-hb251255
PASSED UPPER,Mississippi,SB 2221,Campus safety; require institutions of higher learning to review safety procedures concerning student living accommodations.,Bart Williams (R),"UNIVERSITIES AND COLLEGES, UNIVERSITIES AND COLLEGES","2025 REGULAR SESSION
LATEST ACTION: MARCH 4, 2025","MARCH 4, 2025",state-ms-2025-sb2221
BECAME LAW,Wyoming,SF 62,Sex-designated facilities and public schools.,"Dan Laursen (R),Dalton Banks (R),John Bear (R),+16 sponsors","EDUCATION, LABOR","2025 REGULAR SESSION
LATEST ACTION: MARCH 3, 2025","MARCH 3, 2025",state-wy-2025-sf62
BECAME LAW,Wyoming,HB 72,Protecting privacy in public spaces act.,"Martha Lawley (R),Ocean Andrew (R),Abby Angelos (R),+16 sponsors","EDUCATION, JUDICIARY","2025 REGULAR SESSION
LATEST ACTION: MARCH 3, 2025","MARCH 3, 2025",state-wy-2025-hb72
INTRODUCED,Maryland,SB 948,Children - Parental Rights - Educational Rights,Justin Ready (R),"EDUCATION, ENERGY, AND THE ENVIRONMENT","2025 REGULAR SESSION
LATEST ACTION: MARCH 4, 2025","MARCH 4, 2025",state-md-2025-sb948
INTRODUCED,Wyoming,HB 149,Adoption discrimination-keep kids first act.,"Rachel Rodriguez-Williams (R),Abby Angelos (R),Jeremy Haroldson (R),+9 sponsors",LABOR,"2025 REGULAR SESSION
LATEST ACTION: MARCH 3, 2025","MARCH 3, 2025",state-wy-2025-hb149
PASSED LOWER,Wyoming,HB 222,Medical Ethics Defense Act-2.,"Pepper Ottman (R),Daniel Singh (R),Lynn Hutchings (R),+2 sponsors","LABOR, LABOR","2025 REGULAR SESSION
LATEST ACTION: MARCH 3, 2025","MARCH 3, 2025",state-wy-2025-hb222
INTRODUCED,Oklahoma,SB 959,Health care; granting certain rights and protections to health care institutions and payors; prohibiting certain discrimination and adverse actions. Effective date.,Julie McIntosh (R),HEALTH AND HUMAN SERVICES,"2025 REGULAR SESSION
LATEST ACTION: MARCH 3, 2025","MARCH 3, 2025",state-ok-2025-sb959
INTRODUCED,Georgia,HB 660,State government; prohibit coverage of expenses for any transition related intervention under state health benefit plan or with any state funds,"Brent Cox (R),Rick Jasperse (R),Carmen Rice (R),+2 sponsors",INSURANCE,"2025-2026 REGULAR SESSION
LATEST ACTION: MARCH 3, 2025","MARCH 3, 2025",state-ga-2025_26-hb660
INTRODUCED,Texas,HB 477,Relating to the required inclusion of a person's sex on a birth certificate and prohibited change of sex on the birth certificate of certain minors.,"Valoree Swanson (R),Greg Bonnen (R),Briscoe Cain (R),+7 sponsors",PUBLIC HEALTH,"89TH LEGISLATURE (2025)
LATEST ACTION: FEBRUARY 28, 2025","FEBRUARY 28, 2025",state-tx-89r-hb477
INTRODUCED,Texas,HB 403,Relating to housing and placement of inmates and children according to biological sex.,"Valoree Swanson (R),Carrie Isaac (R)",STATE AFFAIRS,"89TH LEGISLATURE (2025)
LATEST ACTION: FEBRUARY 28, 2025","FEBRUARY 28, 2025",state-tx-89r-hb403
INTRODUCED,Texas,HB 344,Relating to a prohibition on instruction and certain activities regarding sexual orientation or gender identity provided or allowed by a public school.,"Carl Tepper (R),David Spiller (R),Janis Holt (R),+3 sponsors",PUBLIC EDUCATION,"89TH LEGISLATURE (2025)
LATEST ACTION: FEBRUARY 28, 2025","FEBRUARY 28, 2025",state-tx-89r-hb344
INTRODUCED,Rhode Island,SB 270,AN ACT RELATING TO HEALTH AND SAFETY -- RHODE ISLAND'S CHILDREN DESERVE HELP NOT HARM ACT -- MINOR'S GENDER TRANSITION,Elaine Morgan (R),HEALTH AND HUMAN SERVICES,"2025 REGULAR SESSION
LATEST ACTION: FEBRUARY 28, 2025","FEBRUARY 28, 2025",state-ri-2025-sb270
INTRODUCED,Illinois,SB 2082,ADULT CONTENT AGE VERIFICATION,"Erica Harriss (R),Li Arellano (R)",ASSIGNMENTS,"104TH REGULAR SESSION
LATEST ACTION: FEBRUARY 28, 2025","FEBRUARY 28, 2025",state-il-104th-sb2082
PASSED LOWER,Georgia,HB 267,Riley Gaines Act; enact,"Josh Bonner (R),Jan Jones (R),Will Wade (R),+3 sponsors","JUDICIARY, EDUCATION","2025-2026 REGULAR SESSION
LATEST ACTION: FEBRUARY 28, 2025","FEBRUARY 28, 2025",state-ga-2025_26-hb267
BECAME LAW,Wyoming,SF 77,Compelled speech is not free speech.,"Lynn Hutchings (R),Ocean Andrew (R),Dalton Banks (R),+8 sponsors","JUDICIARY, JUDICIARY","2025 REGULAR SESSION
LATEST ACTION: FEBRUARY 27, 2025","FEBRUARY 27, 2025",state-wy-2025-sf77
INTRODUCED,Missouri,SB 493,Removes the expiration date on certain provisions relating to gender transition,Nick Schroer (R),"FAMILIES, SENIORS AND HEALTH","2025 REGULAR SESSION
LATEST ACTION: FEBRUARY 27, 2025","FEBRUARY 27, 2025",state-mo-2025-sb493
INTRODUCED,Missouri,HB 35,Modifies provisions relating to gender transition procedures,"Hardy Billington (R),Jamie Ray Gragg (R),Ann Kelley (R),+2 sponsors","EMERGING ISSUES, RULES - LEGISLATIVE","2025 REGULAR SESSION
LATEST ACTION: FEBRUARY 27, 2025","FEBRUARY 27, 2025",state-mo-2025-hb35
INTRODUCED,Missouri,HB 113,Modifies guidelines for student participation in athletic contests organized by sex,"Brian Seitz (R),Bill Irwin (R),Hardy Billington (R)","EMERGING ISSUES, RULES - LEGISLATIVE","2025 REGULAR SESSION
LATEST ACTION: FEBRUARY 27, 2025","FEBRUARY 27, 2025",state-mo-2025-hb113
INTRODUCED,Texas,HB 239,Relating to regulations and policies for entering or using certain private spaces; authorizing a civil penalty.,"Valoree Swanson (R),Greg Bonnen (R),Cody Harris (R),+80 sponsors",STATE AFFAIRS,"89TH LEGISLATURE (2025)
LATEST ACTION: FEBRUARY 27, 2025","FEBRUARY 27, 2025",state-tx-89r-hb239
SIGNED BY GOVERNOR,South Dakota,HB 1053,"require age verification by websites containing material that is harmful to minors, and to provide a penalty therefor.","Jim Mehlhaff (R),Bethany Soye (R),Amber Hulse (R),+41 sponsors",(NO COMMITTEE),"2025 REGULAR SESSION
LATEST ACTION: FEBRUARY 27, 2025","FEBRUARY 27, 2025",state-sd-2025-hb1053
INTRODUCED,Minnesota,SF 1883,Women's athletics exemption creation in the Human Rights Act,"Karin Housley (R),Julia Coleman (R),Nelson,+2 sponsors",JUDICIARY AND PUBLIC SAFETY,"2025-2026 REGULAR SESSION
LATEST ACTION: FEBRUARY 27, 2025","FEBRUARY 27, 2025",state-mn-2025_2026-sf1883
INTRODUCED,Massachusetts,SD 627,An Act to ensure fairness and safety in school sports,"Ryan Fattman (R),Katie Ferriera-Aubin,Marc Lombardo (R),+1 sponsor",EDUCATION,"194TH LEGISLATURE (2025-2026)
LATEST ACTION: FEBRUARY 27, 2025","FEBRUARY 27, 2025",state-ma-194th-sd627
INTRODUCED,Iowa,SF 236,A bill for an act relating to certain sincerely held religious or moral beliefs of child foster care providers and prospective adoptive parents.,Sandy Salmon (R),HEALTH AND HUMAN SERVICES,"2025-2026 REGULAR SESSION
LATEST ACTION: FEBRUARY 27, 2025","FEBRUARY 27, 2025",state-ia-2025_2026-sf236
INTRODUCED,Ohio,SB 113,"Prohibit diversity, equity, and inclusion in public schools","Andrew Brenner (R),Jerry Cirino (R),Tim Schaffer (R),+2 sponsors",EDUCATION,"136TH LEGISLATURE (2025-2026)
LATEST ACTION: FEBRUARY 26, 2025","FEBRUARY 26, 2025",state-oh-136-sb113
INTRODUCED,Iowa,SF 207,A bill for an act relating to civil liability for certain commercial entities who publish or distribute obscene material on the internet.,Kevin Alons (R),TECHNOLOGY,"2025-2026 REGULAR SESSION
LATEST ACTION: FEBRUARY 26, 2025","FEBRUARY 26, 2025",state-ia-2025_2026-sf207
INTRODUCED,Georgia,SB 248,Georgia Council on Library Materials Standards; establish and provide,"Clint Dixon (R),Jason Anavitarte (R),Marty Harbin (R),+2 sponsors",EDUCATION AND YOUTH,"2025-2026 REGULAR SESSION
LATEST ACTION: FEBRUARY 26, 2025","FEBRUARY 26, 2025",state-ga-2025_26-sb248
INTRODUCED,Missouri,SJR 6,Amends the Constitution to assert the right of parents to participate in and direct the education of their children free from government interference,Rick Brattin (R),EDUCATION,"2025 REGULAR SESSION
LATEST ACTION: FEBRUARY 25, 2025","FEBRUARY 25, 2025",state-mo-2025-sjr6
INTRODUCED,Missouri,SB 212,"Requires all public school shower rooms, locker rooms, and restrooms to be designated for and used by male or female students only",Travis Fitzwater (R),EDUCATION,"2025 REGULAR SESSION
LATEST ACTION: FEBRUARY 25, 2025","FEBRUARY 25, 2025",state-mo-2025-sb212
INTRODUCED,Iowa,SF 335,"A bill for an act relating to education, including by modifying provisions related to trainings and curricula provided by school districts and prohibited sexual orientation and gender identity instruction, and implementing prohibitions related to the diversity, equity, and inclusion efforts of institutions of higher learning governed by the state board of regents, community colleges, and public schools.","Sandy Salmon (R),Doug Campbell (R),Mike Pike (R),+3 sponsors",EDUCATION,"2025-2026 REGULAR SESSION
LATEST ACTION: FEBRUARY 25, 2025","FEBRUARY 25, 2025",state-ia-2025_2026-sf335
INTRODUCED,Montana,LC 3821,Revise laws related to child abuse and neglect,,(NO COMMITTEE),"2025 REGULAR SESSION
LATEST ACTION: FEBRUARY 24, 2025","FEBRUARY 24, 2025",state-mt-2025-lc3821
INTRODUCED,Montana,LC 4084,Revise parenting laws involving the best interest of a child who is transitioning genders,,(NO COMMITTEE),"2025 REGULAR SESSION
LATEST ACTION: FEBRUARY 24, 2025","FEBRUARY 24, 2025",state-mt-2025-lc4084
INTRODUCED,Montana,LC 1738,Require human sexuality instruction in public schools to include image of D&E abortion at certain gestational age,,(NO COMMITTEE),"2025 REGULAR SESSION
LATEST ACTION: FEBRUARY 24, 2025","FEBRUARY 24, 2025",state-mt-2025-lc1738
INTRODUCED,South Dakota,HCR 6012,Urging the Supreme Court of the United States to establish marriage as between a man and a woman.,"Tony Randolph (R),Travis Ismay (R),Carl Perry (R),+2 sponsors",(NO COMMITTEE),"2025 REGULAR SESSION
LATEST ACTION: FEBRUARY 24, 2025","FEBRUARY 24, 2025",state-sd-2025-hcr6012
INTRODUCED,Maryland,HB 282,Public Schools - Sexually Explicit Materials - Prohibited in Libraries and Media Centers,Nino Mangione (R),WAYS AND MEANS,"2025 REGULAR SESSION
LATEST ACTION: FEBRUARY 24, 2025","FEBRUARY 24, 2025",state-md-2025-hb282
INTRODUCED,Iowa,HSB 242,"A bill for an act relating to sex and gender, including those and related terms for purposes of statutory construction, indications of a person’s sex on certain vital records, gender identity under the Iowa civil rights Act, and school curricula related to gender theory.",COMMITTEE ON JUDICIARY,JUDICIARY,"2025-2026 REGULAR SESSION
LATEST ACTION: FEBRUARY 24, 2025","FEBRUARY 24, 2025",state-ia-2025_2026-hsb242
INTRODUCED,Montana,LC 2434,Revise laws related to hypersexualized shows,,(NO COMMITTEE),"2025 REGULAR SESSION
LATEST ACTION: FEBRUARY 21, 2025","FEBRUARY 21, 2025",state-mt-2025-lc2434
INTRODUCED,Montana,LC 898,Generally revise laws regarding gender transition treatment,,(NO COMMITTEE),"2025 REGULAR SESSION
LATEST ACTION: FEBRUARY 21, 2025","FEBRUARY 21, 2025",state-mt-2025-lc898
INTRODUCED,West Virginia,HB 2070,To create the Parents Bill of Rights.,"Jonathan Pinson (R),Bryan Smith (R)","JUDICIARY, HEALTH AND HUMAN RESOURCES, HUMAN SERVICES","2025 REGULAR SESSION
LATEST ACTION: FEBRUARY 21, 2025","FEBRUARY 21, 2025",state-wv-2025-hb2070
INTRODUCED,Idaho,H 292,EDUCATION – Amends existing law to revise provisions regarding parental rights in education.,EDUCATION COMMITTEE,EDUCATION,"68TH LEGISLATURE, 1ST REGULAR SESSION (2025)
LATEST ACTION: FEBRUARY 21, 2025","FEBRUARY 21, 2025",state-id-2025-h292
INTRODUCED,Montana,LC 2955,Prohibit discriminatory action against persons providing adoption or foster care services,,(NO COMMITTEE),"2025 REGULAR SESSION
LATEST ACTION: FEBRUARY 20, 2025","FEBRUARY 20, 2025",state-mt-2025-lc2955
INTRODUCED,West Virginia,HB 2033,Relating to foster or adoption parents sincerely held religious or moral beliefs regarding sexual orientation or gender identity,"Jonathan Pinson (R),Adam Burkhammer (R),Margitta Mazzocchi (R)","JUDICIARY, HEALTH AND HUMAN RESOURCES, HUMAN SERVICES","2025 REGULAR SESSION
LATEST ACTION: FEBRUARY 20, 2025","FEBRUARY 20, 2025",state-wv-2025-hb2033
INTRODUCED,Oklahoma,SB 550,Crimes and punishment; making certain acts unlawful. Emergency.,"Dusty Deevers (R),Kevin West (R)",PUBLIC SAFETY,"2025 REGULAR SESSION
LATEST ACTION: FEBRUARY 20, 2025","FEBRUARY 20, 2025",state-ok-2025-sb550
INTRODUCED,Kansas,HB 2071,"Enacting the help not harm act to restrict the use of state funds to promote gender transitioning, prohibit healthcare providers from providing gender transition whose gender identity is inconsistent with the child's sex, authorize a civil cause of action against healthcare providers for providing such treatments, require professional discipline against a healthcare provider who performs such treatment and prohibit professional liability insurance from covering damages for healthcare providers that provide gender transition treatment to children and adding violation of the act to the definition of unprofessional conduct for physicians.",,HEALTH AND HUMAN SERVICES,"2025-2026 REGULAR SESSION
LATEST ACTION: FEBRUARY 20, 2025","FEBRUARY 20, 2025",state-ks-2025_2026-hb2071
INTRODUCED,Illinois,SJR CA3,CON AMEND-PARENTAL RIGHTS,"Terri Bryant (R),Chapin Rose (R)",ASSIGNMENTS,"104TH REGULAR SESSION
LATEST ACTION: FEBRUARY 20, 2025","FEBRUARY 20, 2025",state-il-104th-sjrca3
INTRODUCED,Delaware,SB 55,AN ACT TO AMEND TITLE 16 OF THE DELAWARE CODE RELATING TO GENDER TRANSITION PROCEDURES.,"Bryant Richardson (R),Laura Sturgeon (D),Stell Selby (D),+7 sponsors",HEALTH & SOCIAL SERVICES,"153RD GENERAL ASSEMBLY (2025-2026)
LATEST ACTION: FEBRUARY 20, 2025","FEBRUARY 20, 2025",state-de-153-sb55
BECAME LAW,Alabama,SB 79,"Sex-based terms, defined; vital statistics, report sex as male or female at birth required, legislative policy regarding sex and gender identity established",April Weaver (R),COUNTY AND MUNICIPAL GOVERNMENT,"2025 REGULAR SESSION
LATEST ACTION: FEBRUARY 19, 2025","FEBRUARY 19, 2025",state-al-2025rs-sb79
INTRODUCED,South Carolina,H 3263,Student physical privacy,"Tommy Pope (R),Chris Wooten (R),Fawn Pedalino (R),+19 sponsors",JUDICIARY,"2025-2026 REGULAR SESSION
LATEST ACTION: FEBRUARY 19, 2025","FEBRUARY 19, 2025",state-sc-2025_2026-h3263
INTRODUCED,Colorado,HB 25-1254,Limitation on Gender Transition Procedure Claims,"Ken DeGraaf (R),Brandi Bradley (R),Ron Weinberg (R)",JUDICIARY,"2025 REGULAR SESSION
LATEST ACTION: FEBRUARY 18, 2025","FEBRUARY 18, 2025",state-co-2025a-hb251254
INTRODUCED,Missouri,SB 115,Establishes provisions regarding elementary and secondary education,Rick Brattin (R),EDUCATION,"2025 REGULAR SESSION
LATEST ACTION: FEBRUARY 18, 2025","FEBRUARY 18, 2025",state-mo-2025-sb115
INTRODUCED,South Dakota,SB 18,"require age verification by websites containing material that is harmful to minors, and to provide a penalty therefor.","Steve Kolbeck (R),Mike Weisgram (R),Amber Arlint (R),+10 sponsors",(NO COMMITTEE),"2025 REGULAR SESSION
LATEST ACTION: FEBRUARY 18, 2025","FEBRUARY 18, 2025",state-sd-2025-sb18
PASSED,Kansas,SB 63,"Enacting the help not harm act, restricting use of state funds to promote gender transitioning, prohibiting healthcare providers from providing gender transition care to children whose gender identity is inconsistent with the child's sex, authorizing a civil cause of action against healthcare providers for providing such treatments, requiring professional discipline against a healthcare provider who performs such treatment, prohibiting professional liability insurance from covering damages for healthcare providers that provide gender transition treatment to children and adding violation of the act to the definition of unprofessional conduct for physicians.",,PUBLIC HEALTH AND WELFARE,"2025-2026 REGULAR SESSION
LATEST ACTION: FEBRUARY 18, 2025","FEBRUARY 18, 2025",state-ks-2025_2026-sb63
